# id	название	описание — русский перевод CWE (MITRE cwec_v4.14)
440	Нарушение ожидаемого поведения	Функция, API или возможность работает не по спецификации.
441	Непреднамеренный прокси или посредник («Confused Deputy»)	Продукт получает запрос, сообщение или директиву от вышестоящего компонента, но не сохраняет исходный источник запроса перед его пересылкой внешнему субъекту вне своей зоны контроля. Продукт выглядит источником запроса и фактически работает как прокси между вышестоящим компонентом и внешним субъектом.
444	Несогласованная интерпретация HTTP-запросов («HTTP Request/Response Smuggling»)	Продукт выступает промежуточным HTTP-агентом (прокси, файрволом) между двумя сторонами, например клиентом и сервером, но интерпретирует искажённые HTTP-запросы или ответы не так, как их обработает конечный получатель.
446	Расхождение интерфейса для функции безопасности	Интерфейс неправильно включает или настраивает функцию безопасности, но показывает пользователю, будто она в безопасном состоянии.
447	Нереализованная или неподдерживаемая функция в интерфейсе	Функция безопасности в интерфейсе выглядит поддерживаемой и сообщает об этом пользователю, но на самом деле не реализована.
448	Устаревшая функция в интерфейсе	Функция интерфейса устарела, а продукт не предупреждает об этом пользователя.
449	Интерфейс выполняет не то действие	Интерфейс выполняет действие, не соответствующее запросу пользователя.
450	Неоднозначная интерпретация ввода в интерфейсе	Интерфейс допускает несколько интерпретаций ввода, но не спрашивает пользователя, когда выбирает менее безопасную.
451	Искажение критической информации в интерфейсе	Интерфейс неправильно отображает критическую информацию, позволяя скрыть или подделать её саму или её источник. Часто это элемент фишинговых атак.
453	Небезопасная инициализация переменных по умолчанию	Продукт по умолчанию инициализирует внутреннюю переменную небезопасным или менее безопасным значением, чем возможно.
454	Внешняя инициализация доверенных переменных или хранилищ	Продукт инициализирует критические внутренние переменные или хранилища данными, которые могут изменить недоверенные субъекты.
455	Продолжение работы после неудачной инициализации	Продукт не завершается и не меняет режим работы при ошибках безопасности во время инициализации, например при ошибке формата конфигурации или невозможности активировать HSM, и работает менее безопасно, чем задумал администратор.
456	Отсутствие инициализации переменной	Продукт не инициализирует критические переменные, и среда выполнения использует неожиданные значения.
457	Использование неинициализированной переменной	Код использует переменную, которая не была инициализирована, что даёт непредсказуемые результаты.
459	Неполная очистка	Продукт не «убирает» и не удаляет временные или вспомогательные ресурсы после использования.
460	Некорректная очистка при исключении	Продукт не очищает или неправильно очищает своё состояние при выбросе исключения, что ведёт к неожиданному состоянию или ходу выполнения.
462	Дублирующийся ключ в ассоциативном списке	Дублирующиеся ключи в ассоциативных списках могут привести к тому, что неуникальные ключи будут приняты за ошибку.
463	Удаление сторожевого элемента структуры данных	Случайное удаление сторожевого элемента (sentinel) структуры данных может вызвать серьёзные логические ошибки.
464	Добавление сторожевого элемента структуры данных	Случайное добавление сторожевого элемента (sentinel) структуры данных может вызвать серьёзные логические ошибки.
466	Возврат указателя за пределами ожидаемого диапазона	Функция может вернуть указатель на память за пределами буфера, на который он должен указывать.
467	sizeof() от типа указателя	Код вызывает sizeof() для указателя на выделенную память, что всегда возвращает размер машинного слова. Результат будет неожиданным, если программист хотел узнать объём выделенной памяти.
468	Неверное масштабирование указателя	В C и C++ легко случайно обратиться не к той памяти из-за неявного масштабирования в арифметике указателей.
469	Вычитание указателей для определения размера	Продукт вычитает один указатель из другого, чтобы получить размер, но результат неверен, если указатели находятся в разных блоках памяти.
470	Выбор классов или кода по внешнему вводу («Unsafe Reflection»)	Продукт использует внешний ввод с рефлексией для выбора классов или кода, но недостаточно препятствует выбору неподходящих классов или кода.
471	Изменение «неизменяемых» данных (MAID)	Продукт не защищает элемент, считающийся неизменяемым, от изменения атакующим.
472	Внешнее управление «неизменяемым» веб-параметром	Веб-приложение недостаточно проверяет данные, которые считаются неизменяемыми, но на деле управляются извне, например скрытые поля форм.
473	Изменение внешних переменных PHP	PHP-приложение не защищает переменные от изменения из внешних источников: параметров запроса или cookie. Это открывает множество слабостей, которых иначе бы не было.
474	Функция с несогласованными реализациями	Код использует функцию, реализация которой различается в разных ОС и версиях.
475	Неопределённое поведение при вводе в API	Поведение функции не определено, если её управляющий параметр не имеет конкретного значения.
476	Разыменование нулевого указателя (NULL Pointer Dereference)	Приложение разыменовывает указатель, который ожидает валидным, но он равен NULL, что обычно вызывает падение или завершение.
477	Использование устаревшей функции	Код использует устаревшие функции, что говорит о том, что его не проверяют и не сопровождают активно.
478	Нет ветки по умолчанию в выражении с несколькими условиями	В выражении с несколькими условиями, например switch, нет ветки по умолчанию.
479	Нереентерабельная функция в обработчике сигнала	Продукт определяет обработчик сигнала, который вызывает нереентерабельную функцию.
480	Использование неверного оператора	Продукт случайно использует не тот оператор, что меняет логику в значимом для безопасности смысле.
481	Присваивание вместо сравнения	Код использует оператор присваивания там, где подразумевалось сравнение.
482	Сравнение вместо присваивания	Код использует оператор сравнения там, где подразумевалось присваивание.
483	Неверное выделение блока	Код явно не выделяет блок, который должен содержать два и более оператора, что приводит к логической ошибке.
484	Пропущенный break в switch	Продукт пропускает break в switch или похожей конструкции, и выполняется код нескольких условий, хотя программист хотел выполнить только одно.
486	Сравнение классов по имени	Продукт сравнивает классы по имени и может использовать не тот класс, если у нескольких классов одинаковое имя.
487	Опора на область видимости пакета	Java-пакеты не являются закрытыми по своей природе, поэтому полагаться на них для защиты кода — плохая практика.
488	Раскрытие элемента данных не той сессии	Продукт недостаточно разделяет состояние разных сессий, и данные попадают в чужую сессию или используются ей.
489	Активный отладочный код	Продукт развёрнут для неавторизованных субъектов с включённым отладочным кодом, что создаёт непредусмотренные точки входа или раскрывает чувствительную информацию.
491	Публичный cloneable() без final («Object Hijack»)	У класса есть метод cloneable(), не объявленный final, что позволяет создать объект без вызова конструктора и получить его в неожиданном состоянии.
492	Внутренний класс с чувствительными данными	Внутренние классы компилируются в классы с видимостью на уровне пакета и могут открыть атакующему код, который программист считал приватным.
493	Критическая публичная переменная без final	В продукте есть критическая публичная переменная без модификатора final, которую можно изменить на неожиданное значение.
494	Загрузка кода без проверки целостности	Продукт загружает исходный или исполняемый код из удалённого источника и выполняет его без достаточной проверки происхождения и целостности.
495	Публичный метод возвращает приватную структуру данных	Публичный метод возвращает ссылку на приватную структуру данных, которую затем можно изменить непредусмотренным образом.
496	Публичные данные в приватном поле-массиве	Запись публичных данных в приватный массив равносильна открытию публичного доступа к этому массиву.
497	Раскрытие чувствительной системной информации неавторизованной зоне	Продукт не предотвращает доступ к чувствительной системной информации субъектов, у которых нет такого же уровня доступа к системе, как у самого продукта.
498	Клонируемый класс с чувствительной информацией	Код содержит класс с чувствительными данными, который можно клонировать, и через клонирование получить доступ к данным.
499	Сериализуемый класс с чувствительными данными	Код содержит класс с чувствительными данными, который явно не запрещает сериализацию. Данные можно получить, сериализовав класс через другой класс.
500	Публичное статическое поле без final	Объект содержит публичное статическое поле без final, которое можно изменить непредусмотренным образом.
501	Нарушение границы доверия	Продукт смешивает доверенные и недоверенные данные в одной структуре данных или структурированном сообщении.
502	Десериализация недоверенных данных	Продукт десериализует недоверенные данные без достаточной проверки того, что результат будет корректным.
506	Встроенный вредоносный код	Продукт содержит код, похожий на вредоносный.
507	Троянский конь	Продукт выглядит безобидным или полезным, но содержит скрытый от обычной работы код, нарушающий политику безопасности пользователя или администратора.
508	Нераспространяющийся вредоносный код	Нераспространяющийся вредоносный код находится только в атакованной системе или продукте и не пытается распространиться дальше.
509	Самораспространяющийся вредоносный код (вирус или червь)	Самораспространяющийся вредоносный код, включая вирусы и черви, после компрометации цели пытается атаковать другие системы.
510	Лазейка (trapdoor)	Лазейка — скрытый фрагмент кода, реагирующий на особый ввод и дающий доступ к ресурсам в обход обычных механизмов безопасности.
511	Логическая или временная бомба	Продукт содержит код, предназначенный нарушить легитимную работу продукта (или его окружения) по наступлении определённого времени или логического условия.
512	Шпионское ПО	Продукт собирает персональную информацию о пользователе или его действиях через сторонние ресурсы без явного согласия пользователя.
514	Скрытый канал	Скрытый канал — путь передачи информации, не предусмотренный проектировщиками системы.
515	Скрытый канал хранения	Скрытый канал хранения передаёт информацию: одна программа выставляет биты, другая их читает. В отличие от обычной работы, биты используются для передачи закодированной информации.
520	Ошибка конфигурации .NET: использование имперсонации	Разрешение .NET-приложению работать с потенциально повышенным доступом к ОС и файловой системе опасно и открывает путь к различным атакам.
521	Слабые требования к паролям	Продукт не требует от пользователей надёжных паролей, что облегчает компрометацию учётных записей.
522	Недостаточно защищённые учётные данные	Продукт передаёт или хранит учётные данные небезопасным способом, уязвимым к перехвату или извлечению.
523	Незащищённая передача учётных данных	Страницы входа не защищают должным образом имя пользователя и пароль при передаче от клиента к серверу.
524	Кэш с чувствительной информацией	Код использует кэш с чувствительной информацией, который может прочитать субъект вне предусмотренной зоны контроля.
525	Кэш браузера с чувствительной информацией	Веб-приложение не задаёт политику кэширования, определяющую, как кэшировать страницы и поля форм.
526	Хранение чувствительной информации открытым текстом в переменной окружения	Продукт хранит незашифрованную чувствительную информацию в переменной окружения.
527	Раскрытие репозитория системы контроля версий	Продукт хранит репозиторий CVS, git или другой в каталоге, архиве или ресурсе, доступном неавторизованным субъектам.
528	Раскрытие файла дампа памяти (core dump)	Продукт создаёт core dump в каталоге, архиве или ресурсе, доступном неавторизованным субъектам.
529	Раскрытие файлов списков контроля доступа	Продукт хранит файлы ACL в каталоге или контейнере, доступном субъектам вне предусмотренной зоны контроля.
530	Раскрытие файла резервной копии	Резервная копия хранится в каталоге или архиве, доступном неавторизованным субъектам.
531	Чувствительная информация в тестовом коде	Доступные тестовые приложения создают разнообразные риски. Разработчики и администраторы редко думают, что кто-то ещё знает о таких приложениях, поэтому в них часто оказываются чувствительные данные или функции.
532	Запись чувствительной информации в лог-файл	Записываемая в логи информация может быть чувствительной, давать атакующему ценные подсказки или раскрывать данные пользователей.
535	Раскрытие информации через ошибку командной оболочки	Сообщение об ошибке оболочки указывает на необработанное исключение в веб-приложении. Часто атакующий может использовать условия, вызывающие такие ошибки, для неавторизованного доступа.
536	Ошибка выполнения сервлета с чувствительной информацией	Сообщение об ошибке сервлета указывает на необработанное исключение в веб-приложении и может дать атакующему полезную информацию.
537	Ошибка выполнения Java с чувствительной информацией	Часто атакующий может использовать условия, вызывающие необработанные исключения, для неавторизованного доступа к системе.
538	Запись чувствительной информации во внешне доступный файл или каталог	Продукт помещает чувствительную информацию в файлы или каталоги, доступные субъектам, которым разрешён доступ к файлам, но не к этой информации.
539	Постоянные cookie с чувствительной информацией	Веб-приложение использует постоянные cookie, содержащие чувствительную информацию.
540	Чувствительная информация в исходном коде	Исходный код на веб-сервере или в репозитории часто содержит чувствительную информацию и не должен быть доступен пользователям.
541	Чувствительная информация во включаемом файле	Если исходник включаемого файла доступен, в нём могут быть имена пользователей, пароли и другие чувствительные сведения о приложении и системе.
543	Singleton без синхронизации в многопоточной среде	Продукт использует шаблон singleton для создания ресурса в многопоточной среде.
544	Отсутствие единого механизма обработки ошибок	Продукт не использует единый способ обработки ошибок, что ведёт к несогласованной обработке и связанным слабостям.
546	Подозрительный комментарий	Код содержит комментарии, указывающие на ошибки, незавершённую функциональность или слабости.
547	Жёстко заданные константы безопасности	Продукт использует жёстко заданные константы вместо символических имён для критичных значений, что повышает риск ошибок при сопровождении или смене политики безопасности.
548	Раскрытие информации через листинг каталога	Листинг каталога открыт без необходимости и может выдать атакующему чувствительную информацию.
549	Отсутствие маскировки поля пароля	Продукт не маскирует пароль при вводе, и его легче подсмотреть.
550	Серверное сообщение об ошибке с чувствительной информацией	Некоторые условия, например сбой сети, приводят к выводу сообщения об ошибке сервера.
551	Неверный порядок: авторизация до разбора и канонизации	Если веб-сервер не разбирает запрошенный URL полностью перед проверкой авторизации, атакующий может обойти защиту.
552	Файлы или каталоги доступны посторонним	Продукт делает файлы или каталоги доступными неавторизованным субъектам, хотя не должен.
553	Командная оболочка во внешне доступном каталоге	В /cgi-bin/ или другом доступном каталоге есть возможный файл оболочки. Это крайне опасно: через него можно выполнять команды на веб-сервере.
554	Ошибка конфигурации ASP.NET: не используется фреймворк проверки ввода	Приложение ASP.NET не использует фреймворк проверки ввода.
555	Ошибка конфигурации J2EE: пароль открытым текстом в конфигурационном файле	Приложение J2EE хранит пароль открытым текстом в конфигурационном файле.
556	Ошибка конфигурации ASP.NET: имперсонация учётной записи	Запуск ASP.NET-приложения с имперсонированными учётными данными может дать ему лишние привилегии.
558	getlogin() в многопоточном приложении	Продукт вызывает getlogin() в многопоточном контексте, и функция может вернуть неверное значение.
560	umask() с аргументом в стиле chmod	Продукт вызывает umask() с неверным аргументом, заданным так, будто это аргумент chmod().
561	Мёртвый код	Продукт содержит мёртвый код, который никогда не выполняется.
562	Возврат адреса переменной из стека	Функция возвращает адрес переменной в стеке, что приводит к непредусмотренному поведению, обычно к падению.
563	Присваивание переменной без использования	Значение переменной присваивается, но никогда не используется (мёртвая запись).
564	SQL-инъекция: Hibernate	Выполнение через Hibernate динамического SQL, собранного из пользовательского ввода, позволяет атакующему изменить смысл запроса или выполнить произвольные SQL-команды.
565	Опора на cookie без проверки корректности и целостности	Продукт полагается на наличие или значения cookie при критичных для безопасности операциях, но не проверяет, что значение действительно для данного пользователя.
566	Обход авторизации через управляемый пользователем первичный ключ SQL	Продукт использует таблицу с записями, недоступными субъекту, но выполняет SQL-запрос с первичным ключом, которым этот субъект управляет.
567	Несинхронизированный доступ к общим данным в многопоточной среде	Продукт не синхронизирует общие данные, например статические переменные между потоками, что ведёт к неопределённому поведению и непредсказуемому изменению данных.
568	finalize() без вызова super.finalize()	Продукт содержит метод finalize(), не вызывающий super.finalize().
570	Выражение всегда ложно	Продукт содержит выражение, которое всегда вычисляется в false.
571	Выражение всегда истинно	Продукт содержит выражение, которое всегда вычисляется в true.
572	Вызов run() потока вместо start()	Продукт вызывает у потока run() вместо start(), и код выполняется в потоке вызывающего, а не в новом.
573	Некорректное следование спецификации вызывающей стороной	Продукт не следует или неправильно следует спецификациям языка, окружения, фреймворка, протокола или платформы.
574	Плохие практики EJB: примитивы синхронизации	Продукт нарушает спецификацию Enterprise JavaBeans, используя примитивы синхронизации потоков.
575	Плохие практики EJB: использование AWT/Swing	Продукт нарушает спецификацию Enterprise JavaBeans, используя AWT/Swing.
576	Плохие практики EJB: использование Java I/O	Продукт нарушает спецификацию Enterprise JavaBeans, используя пакет java.io.
577	Плохие практики EJB: использование сокетов	Продукт нарушает спецификацию Enterprise JavaBeans, используя сокеты.
578	Плохие практики EJB: использование загрузчика классов	Продукт нарушает спецификацию Enterprise JavaBeans, используя загрузчик классов.
579	Плохие практики J2EE: несериализуемый объект в сессии	Продукт хранит несериализуемый объект как атрибут HttpSession, что может снизить надёжность.
580	clone() без вызова super.clone()	Продукт содержит метод clone(), который не вызывает super.clone() для получения нового объекта.
581	Нарушение объектной модели: определён только один из equals и hashCode	Продукт не обеспечивает одинаковый hashCode для равных объектов.
582	Массив объявлен public, final и static	Продукт объявляет массив public, final и static, но этого недостаточно, чтобы защитить его содержимое от изменения.
583	Публичный метод finalize()	Продукт нарушает принципы безопасного программирования мобильного кода, объявляя finalize() публичным.
584	return внутри finally	Код содержит return внутри блока finally, из-за чего любое исключение из блока try теряется.
585	Пустой блок synchronized	Продукт содержит пустой блок synchronized.
586	Явный вызов finalize()	Продукт явно вызывает finalize() не из финализатора.
587	Присваивание указателю фиксированного адреса	Продукт присваивает указателю конкретный адрес, отличный от NULL или 0.
588	Обращение к полю через указатель не на структуру	Приведение неструктурного типа к структуре и обращение к её полю может вызвать ошибки доступа к памяти или повреждение данных.
589	Вызов API, доступного не везде	Продукт использует функцию API, которой нет во всех версиях целевой платформы. Это вызывает проблемы переносимости или несогласованности, ведущие к отказу в обслуживании и другим последствиям.
590	Освобождение памяти не из кучи	Продукт вызывает free() для указателя на память, выделенную не через malloc(), calloc() или realloc().
591	Хранение чувствительных данных в незаблокированной памяти	Продукт хранит чувствительные данные в незаблокированной или неправильно заблокированной памяти, и менеджер виртуальной памяти может выгрузить её в своп на диск, где данные доступнее посторонним.
593	Обход аутентификации: изменение OpenSSL CTX после создания SSL-объектов	Продукт изменяет SSL-контекст после того, как началось создание соединения.
594	Фреймворк J2EE: сохранение несериализуемых объектов на диск	Когда контейнер J2EE пытается записать несериализуемые объекты на диск, нет гарантии, что процесс завершится успешно.
595	Сравнение ссылок на объекты вместо их содержимого	Продукт сравнивает ссылки на объекты, а не их содержимое, и не распознаёт эквивалентные объекты.
597	Неверный оператор при сравнении строк	Продукт использует неверный оператор при сравнении строк, например «==» вместо метода .equals().
598	GET-запросы с чувствительными данными в строке запроса	Веб-приложение обрабатывает запрос методом HTTP GET и передаёт чувствительную информацию в строке запроса.
599	Отсутствие проверки сертификата OpenSSL	Продукт использует OpenSSL и доверяет сертификату, не вызывая SSL_get_verify_result() для проверки, что он отвечает всем требованиям безопасности.
600	Неперехваченное исключение в сервлете	Сервлет перехватывает не все исключения, что может раскрыть чувствительную отладочную информацию.
601	Перенаправление на недоверенный сайт («Open Redirect»)	Веб-приложение принимает управляемую пользователем ссылку на внешний сайт и использует её для перенаправления. Это облегчает фишинг.
602	Проверки безопасности сервера на стороне клиента	Сервер полагается на то, что механизм его защиты реализует клиент.
603	Аутентификация на стороне клиента	Клиент-серверный продукт выполняет аутентификацию в коде клиента, но не на сервере, и её можно обойти модифицированным клиентом без проверки.
605	Несколько привязок к одному порту	Если несколько сокетов могут привязаться к одному порту, другие сервисы на нём можно перехватить или подделать.
606	Непроверенный ввод в условии цикла	Продукт не проверяет ввод, используемый в условиях цикла, что может привести к отказу в обслуживании из-за чрезмерного числа итераций.
607	Public static final поле ссылается на изменяемый объект	Публичное или защищённое static final поле ссылается на изменяемый объект, который может изменить вредоносный код или случайно другой пакет.
608	Struts: неприватное поле в классе ActionForm	Класс ActionForm содержит поле, не объявленное private, к которому можно обратиться без сеттера и геттера.
609	Блокировка с двойной проверкой	Продукт использует блокировку с двойной проверкой для доступа к ресурсу без затрат на явную синхронизацию, но блокировка недостаточна.
610	Внешне управляемая ссылка на ресурс в другой зоне	Продукт использует внешне управляемое имя или ссылку, которые указывают на ресурс вне предусмотренной зоны контроля.
611	Некорректное ограничение ссылок на внешние XML-сущности (XXE)	Продукт обрабатывает XML-документ, в котором могут быть сущности с URI, указывающими на документы вне предусмотренной зоны контроля, и встраивает их в свой вывод.
612	Некорректная авторизация индекса с чувствительной информацией	Продукт строит поисковый индекс приватных или чувствительных документов, но не ограничивает доступ к индексу теми, кто вправе видеть исходную информацию.
613	Недостаточное истечение сессии	По определению WASC, «недостаточное истечение сессии — это когда сайт позволяет атакующему повторно использовать старые учётные данные или идентификаторы сессии для авторизации».
614	Чувствительная cookie в HTTPS-сессии без атрибута Secure	Для чувствительных cookie в HTTPS-сессиях не установлен атрибут Secure, и браузер может отправить их открытым текстом по HTTP.
615	Чувствительная информация в комментариях исходного кода	Комментарии полезны, но программисты иногда оставляют в них важные данные: имена файлов веб-приложения, старые или не предназначенные для пользователей ссылки, старые фрагменты кода и т. п.
616	Неполная идентификация переменных загружаемого файла (PHP)	PHP-приложение обрабатывает загруженные файлы устаревшим способом через четыре глобальные переменные ($varname, $varname_size, $varname_name, $varname_type). Атакующий может перезаписать их и заставить приложение обработать неавторизованные файлы.
617	Достижимое утверждение (assert)	Продукт содержит assert() или похожий оператор, который может вызвать атакующий, что приводит к завершению приложения или другому излишне тяжёлому поведению.
618	Открытый небезопасный метод ActiveX	Элемент ActiveX предназначен для браузера, но открывает опасные методы, действующие вне модели безопасности браузера (зоны или домена).
619	Висячий курсор базы данных («Cursor Injection»)	Если курсор базы данных не закрыт, он может стать доступен другим пользователям с исходными привилегиями, оставаясь «висячим».
620	Смена пароля без проверки	При установке нового пароля продукт не требует знания старого или другой формы аутентификации.
